date,areaName,areaCode,newCasesByPublishDate
2021-05-13,Northern Ireland,N92000002,99
2021-05-12,Northern Ireland,N92000002,113
2021-05-11,Northern Ireland,N92000002,89
2021-05-10,Northern Ireland,N92000002,76
2021-05-09,Northern Ireland,N92000002,98
2021-05-08,Northern Ireland,N92000002,81
2021-05-07,Northern Ireland,N92000002,65
2021-05-06,Northern Ireland,N92000002,102
2021-05-05,Northern Ireland,N92000002,99
2021-05-04,Northern Ireland,N92000002,83
2021-05-03,Northern Ireland,N92000002,64
2021-05-02,Northern Ireland,N92000002,69
2021-05-01,Northern Ireland,N92000002,90
2021-04-30,Northern Ireland,N92000002,108
2021-04-29,Northern Ireland,N92000002,95
2021-04-28,Northern Ireland,N92000002,98
2021-04-27,Northern Ireland,N92000002,109
2021-04-26,Northern Ireland,N92000002,73
2021-04-25,Northern Ireland,N92000002,73
2021-04-24,Northern Ireland,N92000002,80
2021-04-23,Northern Ireland,N92000002,88
2021-04-22,Northern Ireland,N92000002,120
2021-04-21,Northern Ireland,N92000002,116
2021-04-20,Northern Ireland,N92000002,124
2021-04-19,Northern Ireland,N92000002,79
2021-04-18,Northern Ireland,N92000002,82
2021-04-17,Northern Ireland,N92000002,99
2021-04-16,Northern Ireland,N92000002,119
2021-04-15,Northern Ireland,N92000002,159
2021-04-14,Northern Ireland,N92000002,97
2021-04-13,Northern Ireland,N92000002,112
2021-04-12,Northern Ireland,N92000002,97
2021-04-11,Northern Ireland,N92000002,89
2021-04-10,Northern Ireland,N92000002,146
2021-04-09,Northern Ireland,N92000002,113
2021-04-08,Northern Ireland,N92000002,98
2021-04-07,Northern Ireland,N92000002,88
2021-04-06,Northern Ireland,N92000002,57
2021-04-05,Northern Ireland,N92000002,89
2021-04-04,Northern Ireland,N92000002,0
2021-04-03,Northern Ireland,N92000002,84
2021-04-02,Northern Ireland,N92000002,107
2021-04-01,Northern Ireland,N92000002,107
2021-03-31,Northern Ireland,N92000002,123
2021-03-30,Northern Ireland,N92000002,151
2021-03-29,Northern Ireland,N92000002,65
2021-03-28,Northern Ireland,N92000002,116
2021-03-27,Northern Ireland,N92000002,138
2021-03-26,Northern Ireland,N92000002,181
2021-03-25,Northern Ireland,N92000002,183
2021-03-24,Northern Ireland,N92000002,139
2021-03-23,Northern Ireland,N92000002,174
2021-03-22,Northern Ireland,N92000002,87
2021-03-21,Northern Ireland,N92000002,125
2021-03-20,Northern Ireland,N92000002,159
2021-03-19,Northern Ireland,N92000002,137
2021-03-18,Northern Ireland,N92000002,169
2021-03-17,Northern Ireland,N92000002,161
2021-03-16,Northern Ireland,N92000002,164
2021-03-15,Northern Ireland,N92000002,121
2021-03-14,Northern Ireland,N92000002,143
2021-03-13,Northern Ireland,N92000002,146
2021-03-12,Northern Ireland,N92000002,208
2021-03-11,Northern Ireland,N92000002,223
2021-03-10,Northern Ireland,N92000002,147
2021-03-09,Northern Ireland,N92000002,240
2021-03-08,Northern Ireland,N92000002,144
2021-03-07,Northern Ireland,N92000002,138
2021-03-06,Northern Ireland,N92000002,172
2021-03-05,Northern Ireland,N92000002,166
2021-03-04,Northern Ireland,N92000002,163
2021-03-03,Northern Ireland,N92000002,226
2021-03-02,Northern Ireland,N92000002,149
2021-03-01,Northern Ireland,N92000002,138
2021-02-28,Northern Ireland,N92000002,136
2021-02-27,Northern Ireland,N92000002,184
2021-02-26,Northern Ireland,N92000002,241
2021-02-25,Northern Ireland,N92000002,281
2021-02-24,Northern Ireland,N92000002,260
2021-02-23,Northern Ireland,N92000002,225
2021-02-22,Northern Ireland,N92000002,187
2021-02-21,Northern Ireland,N92000002,263
2021-02-20,Northern Ireland,N92000002,276
2021-02-19,Northern Ireland,N92000002,313
2021-02-18,Northern Ireland,N92000002,342
2021-02-17,Northern Ireland,N92000002,297
